order_id,order_date,ship_date,region,state,city,sales_channel,customer_segment,category,sub_category,product_name,units_sold,unit_price,unit_cost,discount_pct,marketing_spend,inventory_days,returned,customer_rating,gross_sales,unit_price_zscore,unit_cost_zscore,marketing_spend_zscore,inventory_days_zscore
ORD-102258,2023-01-01,2023-01-07,West,Gujarat,Ahmedabad,Online,Small Business,Office Supplies,Appliances,Label Printer,7,98.54,46.06,0.0,20.78,16,0,3.9,689.7800000000001,-0.9444810407837944,-0.9750057114140585,-1.36687475177791,-0.2593434640305474
ORD-102441,2023-01-01,2023-01-06,North,Delhi,New Delhi,Retail Store,Corporate,Office Supplies,Paper,Printer Paper,1,124.02,60.33,0.0,106.73,18,0,3.5,124.02,-0.8864931180459984,-0.9250857511494481,1.3446865770103393,0.07319078911799412
ORD-101487,2023-01-01,2023-01-03,North,Haryana,Gurugram,Distributor,Consumer,Technology,Phones,5G Smartphone,2,574.38,437.89,0.05,102.09,12,0,3.4,1148.76,0.13844569216569028,0.39571173991616443,1.1983032778180476,-0.9244119703276305
ORD-103673,2023-01-01,2023-01-03,South,Tamil Nadu,Chennai,Online,Corporate,Office Supplies,Binders,Ring Binder,4,66.71,49.41,0.15,118.45,24,0,4.3,266.84,-1.0169204277831685,-0.9632865896981199,1.7144305999701797,1.0707935485636186
ORD-102315,2023-01-01,2023-01-05,South,Tamil Nadu,Chennai,Online,Home Office,Office Supplies,Appliances,Label Printer,3,26.33,14.87,0.1,34.51,29,0,3.8,78.99,-1.1088180855599425,-1.0841159819573798,-0.9337189979179606,1.9021291814349726
ORD-101948,2023-01-02,2023-01-04,East,West Bengal,Kolkata,Online,Corporate,Technology,Accessories,Wireless Headset,7,563.39,330.61,0.05,92.54,21,0,4.2,3943.73,0.11343441779801448,0.020419985383060082,0.8970186857304643,0.5719921688408064
ORD-101408,2023-01-02,2023-01-05,East,Bihar,Patna,Distributor,Consumer,Technology,Accessories,Wireless Headset,3,1231.73,635.07,0.15,83.78,19,0,5.0,3695.19,1.6344567208819474,1.0854957458710262,0.6206571122553616,0.23945791569226488
ORD-101995,2023-01-02,2023-01-05,South,Telangana,Hyderabad,Distributor,Consumer,Office Supplies,Appliances,Label Printer,9,196.34,95.4,0.1,53.91,15,0,4.1,1767.06,-0.7219057329440591,-0.8024022888873678,-0.3216853762950167,-0.42561059060481815
ORD-104690,2023-01-02,2023-01-03,West,Rajasthan,Jaipur,Online,Home Office,Technology,Phones,5G Smartphone,4,850.66,584.38,0.1,35.05,15,0,4.6,3402.64,0.7672095577072244,0.9081696922050764,-0.9166830105119612,-0.42561059060481815
ORD-101481,2023-01-02,2023-01-06,North,Haryana,Gurugram,Retail Store,Small Business,Technology,Laptops,Business Laptop,2,888.69,710.98,0.0,13.87,19,0,4.3,1777.38,0.8537590357966431,1.3510475457089077,-1.5848722943250515,0.23945791569226488
ORD-101738,2023-01-03,2023-01-06,North,Punjab,Ludhiana,Retail Store,Corporate,Office Supplies,Appliances,Label Printer,4,82.73,61.01,0.05,48.33,16,0,4.0,330.92,-0.9804617730634081,-0.922706944353377,-0.49772391282367784,-0.2593434640305474
ORD-104626,2023-01-03,2023-01-04,West,Rajasthan,Jaipur,Online,Consumer,Office Supplies,Appliances,Label Printer,4,188.13,154.08,0.05,66.8,29,1,4.0,752.52,-0.7405902245326506,-0.5971252553675824,0.08496995271115589,1.9021291814349726
ORD-101912,2023-01-03,2023-01-09,North,Haryana,Gurugram,Distributor,Consumer,Office Supplies,Binders,Ring Binder,7,168.51,83.36,0.15,49.07,17,0,5.0,1179.57,-0.7852418353692109,-0.8445211621589801,-0.47437830045249335,-0.09307633745627664
ORD-101621,2023-01-03,2023-01-08,South,Karnataka,Bengaluru,Retail Store,Small Business,Office Supplies,Paper,Printer Paper,4,183.91,144.36,0.0,50.05,14,0,4.1,735.64,-0.7501941897584551,-0.6311281995702462,-0.44346113812308696,-0.5918777171790889
ORD-104110,2023-01-03,2023-01-07,West,Maharashtra,Mumbai,Online,Consumer,Technology,Laptops,Business Laptop,7,1217.39,880.58,0.1,39.39,27,0,4.1,8521.730000000001,1.6018214456833606,1.944349946611355,-0.7797641487674468,1.569594928286431
ORD-103190,2023-01-03,2023-01-07,East,Bihar,Patna,Retail Store,Home Office,Office Supplies,Paper,Printer Paper,7,214.19,124.18,0.1,66.46,18,0,4.0,1499.33,-0.6812823255315922,-0.7017227894889454,0.07424359027034129,0.07319078911799412
ORD-101293,2023-01-04,2023-01-06,West,Rajasthan,Jaipur,Retail Store,Consumer,Furniture,Storage,Office Cabinet,3,628.48,298.75,0.1,25.09,18,0,2.6,1885.44,0.2615676160320469,-0.09103410950344917,-1.2309023337781735,0.07319078911799412
ORD-101236,2023-01-04,2023-01-09,West,Gujarat,Ahmedabad,Distributor,Consumer,Office Supplies,Binders,Ring Binder,8,125.32,93.48,0.15,32.4,17,0,3.6,1002.56,-0.8835345505593761,-0.8091189198409804,-1.0002855413006622,-0.09307633745627664
ORD-100772,2023-01-04,2023-01-07,North,Delhi,New Delhi,Online,Consumer,Furniture,Tables,Standing Desk,5,179.15,116.08,0.1,66.21,24,0,3.2,895.75,-0.7610270984017796,-0.7300585763244987,0.06635655906386005,1.0707935485636186
ORD-101549,2023-01-04,2023-01-09,North,Punjab,Ludhiana,Distributor,Corporate,Furniture,Tables,Standing Desk,7,734.78,570.51,0.1,113.08,16,0,4.6,5143.46,0.5034874035920044,0.859649030055802,1.5450171696549624,-0.2593434640305474
ORD-100380,2023-01-04,2023-01-06,East,Bihar,Patna,Online,Consumer,Technology,Laptops,Business Laptop,5,1208.55,564.55,0.0,100.79,10,0,3.9,6042.75,1.581703186774329,0.838799488137296,1.157290715544345,-1.256946223476172
ORD-103233,2023-01-04,2023-01-07,South,Telangana,Hyderabad,Retail Store,Corporate,Furniture,Storage,Office Cabinet,4,465.04,241.8,0.1,43.98,22,0,4.5,1860.16,-0.11039259167067624,-0.2902591786744064,-0.6349582558164514,0.7382592954150772
ORD-103216,2023-01-04,2023-01-08,West,Maharashtra,Mumbai,Online,Consumer,Furniture,Storage,Office Cabinet,2,884.29,698.85,0.05,64.08,15,0,4.3,1768.58,0.8437454227649984,1.3086138303613448,-0.0008409468153599399,-0.42561059060481815
ORD-102788,2023-01-04,2023-01-07,North,Delhi,New Delhi,Online,Consumer,Office Supplies,Paper,Printer Paper,5,72.46,46.71,0.05,88.81,15,0,4.4,362.29999999999995,-1.003834456207724,-0.9727318519766376,0.7793441801297641,-0.42561059060481815
ORD-104597,2023-01-04,2023-01-08,South,Telangana,Hyderabad,Online,Small Business,Technology,Laptops,Business Laptop,4,172.29,88.42,0.1,21.59,26,0,4.1,689.16,-0.7766392314465709,-0.8268200409999802,-1.3413207706689108,1.4033278017121602
ORD-100845,2023-01-04,2023-01-08,East,Odisha,Bhubaneswar,Online,Small Business,Office Supplies,Paper,Printer Paper,6,160.19,91.83,0.05,56.2,9,0,4.1,961.14,-0.8041766672835933,-0.8148910245667413,-0.24944017044364838,-1.4232133500504427
ORD-100900,2023-01-04,2023-01-06,North,Punjab,Ludhiana,Online,Corporate,Technology,Phones,5G Smartphone,7,912.69,739.55,0.15,114.31,23,0,4.4,6388.83,0.9083787432419769,1.4509924135967784,1.5838213631908502,0.904526421989348
ORD-102627,2023-01-04,2023-01-10,West,Gujarat,Ahmedabad,Retail Store,Consumer,Office Supplies,Paper,Printer Paper,5,14.36,8.06,0.1,29.64,18,0,4.9,71.8,-1.1360596646483028,-1.1079390323709746,-1.087358365820215,0.07319078911799412
ORD-102645,2023-01-05,2023-01-07,West,Rajasthan,Jaipur,Retail Store,Consumer,Technology,Phones,5G Smartphone,6,1340.73,618.93,0.15,118.45,26,1,4.3,8044.38,1.8825212255295052,1.0290340669172198,1.7144305999701797,1.4033278017121602
ORD-100844,2023-01-05,2023-01-07,South,Karnataka,Bengaluru,Online,Consumer,Furniture,Chairs,Ergonomic Chair,4,639.01,320.59,0.2,64.27,12,0,4.3,2556.04,0.28553201267368705,-0.014632432406105848,0.005153196901565729,-0.9244119703276305
