order_id,order_date,ship_date,region,state,city,sales_channel,customer_segment,category,sub_category,product_name,units_sold,unit_price,unit_cost,discount_pct,marketing_spend,inventory_days,returned,customer_rating,gross_sales,unit_price_zscore,unit_cost_zscore,marketing_spend_zscore,inventory_days_zscore,discount_amount,net_revenue,total_cost,profit,profit_margin_pct,ship_delay_days,is_weekend_order,order_year,order_month,order_month_name,year_month,quarter,average_selling_price,return_flag,high_discount_flag
ORD-102258,2023-01-01,2023-01-07,West,Gujarat,Ahmedabad,Online,Small Business,Office Supplies,Appliances,Label Printer,7,98.54,46.06,0.0,20.78,16,0,3.9,689.7800000000001,-0.9444810407837944,-0.9750057114140585,-1.36687475177791,-0.2593434640305474,0.0,689.7800000000001,322.42,346.58000000000004,50.24500565397663,6,True,2023,1,Jan,2023-01,2023Q1,98.54,Not Returned,Normal
ORD-102441,2023-01-01,2023-01-06,North,Delhi,New Delhi,Retail Store,Corporate,Office Supplies,Paper,Printer Paper,1,124.02,60.33,0.0,106.73,18,0,3.5,124.02,-0.8864931180459984,-0.9250857511494481,1.3446865770103393,0.07319078911799412,0.0,124.02,60.33,-43.040000000000006,-34.704079987098865,5,True,2023,1,Jan,2023-01,2023Q1,124.02,Not Returned,Normal
ORD-101487,2023-01-01,2023-01-03,North,Haryana,Gurugram,Distributor,Consumer,Technology,Phones,5G Smartphone,2,574.38,437.89,0.05,102.09,12,0,3.4,1148.76,0.13844569216569028,0.39571173991616443,1.1983032778180476,-0.9244119703276305,57.438,1091.322,875.78,113.45199999999991,10.395831844313587,2,True,2023,1,Jan,2023-01,2023Q1,545.661,Not Returned,Normal
ORD-103673,2023-01-01,2023-01-03,South,Tamil Nadu,Chennai,Online,Corporate,Office Supplies,Binders,Ring Binder,4,66.71,49.41,0.15,118.45,24,0,4.3,266.84,-1.0169204277831685,-0.9632865896981199,1.7144305999701797,1.0707935485636186,40.025999999999996,226.81399999999996,197.64,-89.27600000000002,-39.3608860123273,2,True,2023,1,Jan,2023-01,2023Q1,56.70349999999999,Not Returned,High
ORD-102315,2023-01-01,2023-01-05,South,Tamil Nadu,Chennai,Online,Home Office,Office Supplies,Appliances,Label Printer,3,26.33,14.87,0.1,34.51,29,0,3.8,78.99,-1.1088180855599425,-1.0841159819573798,-0.9337189979179606,1.9021291814349726,7.899,71.091,44.61,-8.029000000000003,-11.293975327397284,4,True,2023,1,Jan,2023-01,2023Q1,23.697,Not Returned,Normal
ORD-101948,2023-01-02,2023-01-04,East,West Bengal,Kolkata,Online,Corporate,Technology,Accessories,Wireless Headset,7,563.39,330.61,0.05,92.54,21,0,4.2,3943.73,0.11343441779801448,0.020419985383060082,0.8970186857304643,0.5719921688408064,197.18650000000002,3746.5434999999998,2314.27,1339.7334999999998,35.75918710139092,2,False,2023,1,Jan,2023-01,2023Q1,535.2205,Not Returned,Normal
ORD-101408,2023-01-02,2023-01-05,East,Bihar,Patna,Distributor,Consumer,Technology,Accessories,Wireless Headset,3,1231.73,635.07,0.15,83.78,19,0,5.0,3695.19,1.6344567208819474,1.0854957458710262,0.6206571122553616,0.23945791569226488,554.2785,3140.9115,1905.21,1151.9215000000002,36.67475189924963,3,False,2023,1,Jan,2023-01,2023Q1,1046.9705000000001,Not Returned,High
ORD-101995,2023-01-02,2023-01-05,South,Telangana,Hyderabad,Distributor,Consumer,Office Supplies,Appliances,Label Printer,9,196.34,95.4,0.1,53.91,15,0,4.1,1767.06,-0.7219057329440591,-0.8024022888873678,-0.3216853762950167,-0.42561059060481815,176.70600000000002,1590.3539999999998,858.6,677.8439999999998,42.622208640340446,3,False,2023,1,Jan,2023-01,2023Q1,176.706,Not Returned,Normal
ORD-104690,2023-01-02,2023-01-03,West,Rajasthan,Jaipur,Online,Home Office,Technology,Phones,5G Smartphone,4,850.66,584.38,0.1,35.05,15,0,4.6,3402.64,0.7672095577072244,0.9081696922050764,-0.9166830105119612,-0.42561059060481815,340.264,3062.3759999999997,2337.52,689.8059999999998,22.52518959134998,1,False,2023,1,Jan,2023-01,2023Q1,765.5939999999999,Not Returned,Normal
ORD-101481,2023-01-02,2023-01-06,North,Haryana,Gurugram,Retail Store,Small Business,Technology,Laptops,Business Laptop,2,888.69,710.98,0.0,13.87,19,0,4.3,1777.38,0.8537590357966431,1.3510475457089077,-1.5848722943250515,0.23945791569226488,0.0,1777.38,1421.96,341.55000000000007,19.216487189008543,4,False,2023,1,Jan,2023-01,2023Q1,888.69,Not Returned,Normal
