order_id,order_date,ship_date,region,state,city,sales_channel,customer_segment,category,sub_category,product_name,units_sold,unit_price,unit_cost,discount_pct,marketing_spend,inventory_days,returned,customer_rating
ORD-100000,2023-03-07,2023-03-09,North,Punjab,Ludhiana,Online,Consumer,Office Supplies,Appliances,Label Printer,2,132.46,91.09,0.05,56.17,6,0,3.4
ORD-100001,2024-07-19,2024-07-21,West,Rajasthan,Jaipur,Retail Store,Consumer,Technology,Laptops,Business Laptop,4,1471.88,1006.14,0.1,80.31,22,0,5.0
ORD-100002,2024-04-23,2024-04-28,North,Haryana,Gurugram,Online,Consumer,Furniture,Tables,Standing Desk,4,221.8,123.93,0.1,,17,1,3.8
ORD-100003,2023-11-17,2023-11-20,South,Telangana,Hyderabad,Distributor,Consumer,Furniture,Chairs,Ergonomic Chair,5,617.1,281.3,0.1,92.61,26,0,3.2
ORD-100004,2023-11-13,2023-11-18,East,Odisha,Bhubaneswar,Distributor,Consumer,Office Supplies,Paper,Printer Paper,1,86.9,44.44,0.05,54.26,19,0,4.0
ORD-100005,2024-09-19,2024-09-22,South,Telangana,Hyderabad,Online,Consumer,Office Supplies,Appliances,Label Printer,4,63.49,44.22,0.05,107.53,15,0,4.3
ORD-100006,2023-03-04,2023-03-09,East,Odisha,Bhubaneswar,Distributor,Consumer,Office Supplies,Appliances,Label Printer,7,28.96,18.35,0.15,79.32,20,0,3.6
ORD-100007,2024-05-24,2024-05-26,West,Rajasthan,Jaipur,Retail Store,Small Business,Furniture,Storage,Office Cabinet,11,403.43,197.36,0.0,102.48,17,0,4.7
ORD-100008,2023-05-28,2023-06-03,North,Haryana,Gurugram,Online,Corporate,Furniture,Tables,Standing Desk,5,750.62,432.59,0.15,103.9,19,0,4.0
ORD-100009,2023-03-10,2023-03-16,North,Punjab,Ludhiana,Online,Corporate,Office Supplies,Binders,Ring Binder,6,168.41,108.98,0.05,99.35,12,0,4.0
ORD-100010,2024-01-20,2024-01-23,East,West Bengal,Kolkata,Online,Consumer,Technology,Laptops,Business Laptop,3,1586.49,1014.63,0.15,49.08,13,0,3.3
ORD-100011,2024-12-14,2024-12-15,East,Bihar,Patna,Online,Corporate,Technology,Laptops,Business Laptop,4,903.85,437.87,0.15,29.25,16,0,3.7
ORD-100012,2024-06-21,2024-06-22,North,Haryana,Gurugram,Online,Home Office,Office Supplies,Paper,Printer Paper,7,33.12,18.77,0.0,113.93,19,0,4.3
ORD-100013,2024-07-10,2024-07-13,East,West Bengal,Kolkata,Distributor,Consumer,Office Supplies,Paper,Printer Paper,4,156.69,90.88,0.0,86.11,14,0,3.6
ORD-100014,2024-06-08,2024-06-12,West,Maharashtra,Mumbai,Online,Corporate,Office Supplies,Appliances,Label Printer,7,66.3,37.9,,30.22,15,0,4.5
ORD-100015,2024-07-28,2024-08-02,South,Telangana,Hyderabad,Distributor,Corporate,Furniture,Tables,Standing Desk,3,884.22,550.1,0.0,99.38,7,0,4.6
ORD-100016,2024-01-11,2024-01-15,West,Rajasthan,Jaipur,Online,Consumer,Technology,Phones,5G Smartphone,1,1284.67,694.73,0.0,74.66,24,0,4.2
ORD-100017,2023-04-04,2023-04-08,East,Odisha,Bhubaneswar,Online,Consumer,Office Supplies,Paper,Printer Paper,7,38.49,23.17,0.1,112.38,18,0,3.0
ORD-100018,2024-09-05,2024-09-09,North,Delhi,New Delhi,Online,Small Business,Technology,Laptops,Business Laptop,1,359.57,205.59,0.1,34.4,19,1,3.5
ORD-100019,2023-11-26,2023-11-30,West,Gujarat,Ahmedabad,Distributor,Corporate,Office Supplies,Binders,Ring Binder,2,98.31,78.11,0.0,119.68,18,0,4.7
ORD-100020,2024-01-01,2024-01-05,West,Rajasthan,Jaipur,Retail Store,Consumer,Furniture,Chairs,Ergonomic Chair,3,108.27,88.76,0.0,27.72,15,0,3.3
ORD-100021,2023-09-29,2023-10-04,West,Gujarat,Ahmedabad,Distributor,Home Office,Technology,Phones,5G Smartphone,5,482.05,256.6,0.15,28.55,20,0,4.6
ORD-100022,2023-05-14,2023-05-17,North,Delhi,New Delhi,Retail Store,Consumer,Technology,Accessories,Wireless Headset,4,486.96,393.86,0.0,75.14,18,0,4.5
ORD-100023,2024-11-08,2024-11-13,South,Karnataka,Bengaluru,Retail Store,Corporate,Technology,Phones,5G Smartphone,9,1017.25,480.61,0.1,27.64,10,0,3.7
ORD-100024,2024-07-25,2024-07-29,South,Telangana,Hyderabad,Retail Store,Consumer,Technology,Phones,5G Smartphone,4,1223.6,817.73,0.0,18.75,18,0,4.0
ORD-100025,2024-04-15,2024-04-19,West,Rajasthan,Jaipur,Online,Small Business,Technology,Accessories,Wireless Headset,4,964.68,529.38,0.15,76.27,17,0,3.7
ORD-100026,2023-10-22,2023-10-26,West,Rajasthan,Jaipur,Retail Store,Corporate,Technology,Phones,5G Smartphone,5,1229.28,845.42,0.2,37.35,17,0,4.0
ORD-100027,2024-08-24,2024-08-29,West,Maharashtra,Mumbai,Retail Store,Home Office,Technology,Laptops,Business Laptop,3,1426.56,858.2,0.0,90.48,22,0,4.8
ORD-100028,2024-02-03,2024-02-05,East,Odisha,Bhubaneswar,Online,Consumer,Furniture,Tables,Standing Desk,3,720.35,408.45,0.0,59.9,24,1,3.0
ORD-100029,2023-11-21,2023-11-26,North,Delhi,New Delhi,Retail Store,Consumer,Technology,Phones,5G Smartphone,5,1120.51,581.63,0.2,43.2,17,0,4.1
ORD-100030,2023-11-26,2023-11-28,West,Rajasthan,Jaipur,Online,Home Office,Technology,Laptops,Business Laptop,2,792.18,515.27,0.0,85.78,11,0,3.8
ORD-100031,2023-06-16,2023-06-17,West,Gujarat,Ahmedabad,Online,Consumer,Technology,Accessories,Wireless Headset,3,1594.1,1094.53,0.15,88.29,25,0,4.1
ORD-100032,2023-03-09,2023-03-11,North,Punjab,Ludhiana,Distributor,Corporate,Technology,Laptops,Business Laptop,2,1573.7,1124.44,0.1,85.97,23,0,5.0
ORD-100033,2024-02-10,2024-02-15,West,Gujarat,Ahmedabad,Online,Consumer,Office Supplies,Appliances,Label Printer,2,225.51,122.95,0.1,29.12,19,0,5.0
ORD-100034,2024-10-11,2024-10-14,North,Punjab,Ludhiana,Online,Consumer,Furniture,Chairs,Ergonomic Chair,4,844.07,668.01,0.2,81.43,22,0,4.1
ORD-100035,2023-02-16,2023-02-20,South,Karnataka,Bengaluru,Retail Store,Corporate,Office Supplies,Appliances,Label Printer,4,73.08,54.84,0.15,86.51,19,0,3.6
ORD-100036,2024-09-19,2024-09-21,South,Karnataka,Bengaluru,,Consumer,Furniture,Chairs,Ergonomic Chair,1,862.37,501.4,0.05,108.81,12,1,3.6
ORD-100037,2024-08-27,2024-08-28,East,Odisha,Bhubaneswar,Online,Consumer,Furniture,Storage,Office Cabinet,4,163.18,107.56,0.0,18.72,12,0,3.9
ORD-100038,2023-07-22,2023-07-24,West,Gujarat,Ahmedabad,Online,Consumer,Technology,Accessories,Wireless Headset,8,275.78,152.23,0.0,30.98,18,0,4.5
ORD-100039,2024-04-06,2024-04-08,West,Rajasthan,Jaipur,Distributor,Small Business,Furniture,Tables,Standing Desk,5,341.72,280.14,0.1,15.21,9,0,4.9
ORD-100040,2023-05-01,2023-05-06,West,Rajasthan,Jaipur,Online,Consumer,Technology,Phones,5G Smartphone,2,246.63,150.59,0.1,98.15,9,0,4.2
ORD-100041,2024-07-08,2024-07-10,East,Odisha,Bhubaneswar,,Home Office,Technology,Laptops,Business Laptop,3,1427.03,821.76,0.15,27.34,1,0,3.9
ORD-100042,2024-05-27,2024-05-28,South,Telangana,Hyderabad,Online,Consumer,Technology,Laptops,Business Laptop,1,853.33,535.74,0.1,83.37,25,0,4.7
ORD-100043,2023-09-17,2023-09-25,West,Maharashtra,Mumbai,Distributor,Corporate,Technology,Phones,5G Smartphone,2,1385.64,841.09,0.0,110.69,30,1,4.6
ORD-100044,2023-02-19,2023-02-24,North,Punjab,Ludhiana,Distributor,Corporate,Furniture,Storage,Office Cabinet,3,878.77,636.2,0.2,18.23,8,0,4.2
ORD-100045,2024-12-10,2024-12-16,East,West Bengal,Kolkata,Distributor,Consumer,Office Supplies,Appliances,Label Printer,3,127.57,59.97,0.05,35.53,8,0,4.5
ORD-100046,2023-11-22,2023-11-26,West,Maharashtra,Mumbai,Online,Consumer,Technology,Phones,5G Smartphone,5,945.25,451.92,0.1,46.17,18,0,2.9
ORD-100047,2024-10-14,2024-10-17,South,Karnataka,Bengaluru,Online,Home Office,Technology,Accessories,Wireless Headset,6,171.93,137.01,0.2,12.25,19,0,3.7
